Target		RA 		Dec
A68               00:37:06.8  +09:09:24 

A370              02:39:52.8  -01:34:36 

A383              02:48:03.3  -03:31:45 

MACSJ0451.9+0006  04:51:55.0  +00:06:15 

MS0451.6-0305     04:54:10.8  -03:00:57 

MACSJ0647.7+7015  06:47:45.9  +70:15:04 

RXCJ0658.5-5556   06:58:27.9  -55:56:56 

MACSJ0712.3+5931  07:12:21.3  +59:31:55 

MACSJ0717.5+3745  07:17:31.3  +37:45:10 

MACSJ0744.8+3927  07:44:52.5  +39:27:27 

A611              08:00:56.8  +36:03:24 

A773              09:17:53.4  +51:43:39 

MACSJ0947.2+7623  09:47:13.2  +76:23:18 

MACSJ1149.5+2223  11:49:35.7  +22:23:54 

RXJ1347.5-1145    13:47:30.5  -11:45:09 

MACSJ1354.6+7715  13:54:41.3  +77:15:05 

MS1358.1+6245     13:59:50.6  +62:31:05 

A1835             14:01:02.0  +02:52:45 

MACSJ1423.8+2404  14:23:47.7  +24:04:40 

MACSJ1532.8+3021  15:32:53.8  +30:20:59 

MACSJ1720.2+3536  17:20:16.8  +35:36:27 

Abell2261         17:22:27.2  +32:07:57 

MACSJ2129.4-0741  21:29:26.2  -07:41:26 

RXJ2129.6+0005    21:29:40.0  +00:05:21 

MS2137            21:40:15.1  -23:39:39 

A2390             21:53:36.7  +17:41:45 

AS1063            22:48:43.5  -44:31:44 

AS1077(AC114)     22:58:48.4  -34:48:09 

MACSJ0027.8+2616 00:27:51.90 +26:16:27.00 

a0209            01:31:52.40 -13:36:40.00 

MACSJ0140.0-0555 01:40:01.80 -05:55:13.50 

MACSJ0159.0-3412 01:59:04.80 -34:12:50.50 

MACSJ0257.6-2209 02:57:42.00 -22:09:01.50 

MACSJ0329.6-0211 03:29:41.68 -02:11:47.70 

MACSJ0416.1-2403 04:16:09.39 -24:04:03.90 

MACSJ0429.6-0253 04:29:36.10 -02:53:08.00 

MACSJ0520.7-1328 05:20:42.40 -13:28:55.00 

MACSJ0549.3-6205 05:49:19.10 -62:05:09.50 

MACSJ1115.2+5320 11:15:14.50 +53:20:13.00 

MACSJ1115.8+0129 11:15:52.05 +01:29:56.60 

MACSJ1124.5+4351 11:24:30.50 +43:51:31.50 

MACSJ1142.4+5831 11:42:24.60 +58:31:51.50 

A1423            11:57:19.00 +33:36:45.50 

MACSJ1206.2-0847 12:06:12.28 -08:48:02.40 

MACSJ1236.9+6311 12:36:58.80 +63:11:11.00 

A1689            13:11:29.50 -01:20:28.00 

a1703            13:15:05.30 +51:49:03.00 

MACSJ1319.9+7003 13:19:59.60 +70:03:34.50 

MACSJ1526.7+1647 15:26:43.90 +16:47:29.00 

MACSJ1621.3+3810 16:21:24.00 +38:10:02.50 

A2218            16:35:54.00 +66:13:00.00 

MACSJ1652.3+5534 16:52:21.20 +55:34:59.00 

MACSJ1738.1+6006 17:38:07.00 +60:06:12.50 

MACSJ1931.8-2634 19:31:50.10 -26:34:36.50 

MACSJ2031.8-4036 20:31:50.40 -40:36:56.00 

MACSJ2050.7+0123 20:50:43.10 +01:23:46.50 

MACSJ2051.1+0215 20:51:08.00 +02:15:55.00 

MACSJ2131.1-4019 21:31:06.60 -40:19:19.50 
